Date,Adj_Close_12w
2012-10-29,24.222857
2012-11-05,23.542856
2012-11-12,25.852857999999998
2012-11-19,27.072857
2012-11-26,25.694285999999998
2012-12-03,27.052856
2012-12-10,26.385714
2012-12-17,26.407142999999998
2012-12-24,25.9
2012-12-31,27.040001
2013-01-07,23.522858
2013-01-14,24.742857
2013-01-21,23.338572
2013-01-28,30.792856
2013-02-04,30.492857
2013-02-11,31.098571999999997
2013-02-18,34.142857
2013-02-25,32.677143
2013-03-04,32.32143
2013-03-11,31.459999
2013-03-18,30.57
2013-03-25,30.985714
2013-04-01,30.155714
2013-04-08,32.157143
2013-04-15,36.751431
2013-04-22,37.797142
2013-04-29,35.187141
2013-05-06,35.168571
2013-05-13,36.107143
2013-05-20,36.981429999999996
2013-05-27,39.765713
2013-06-03,40.558571
2013-06-10,41.648571000000004
2013-06-17,43.664288
2013-06-24,44.832855
2013-07-01,44.628571
2013-07-08,46.751431
2013-07-15,42.978573
2013-07-22,47.642857
2013-07-29,46.861427
2013-08-05,47.03857
2013-08-12,47.842857
2013-08-19,49.965714
2013-08-26,49.692856
2013-09-02,52.257141
2013-09-09,50.634285
2013-09-16,52.709998999999996
2013-09-23,53.667145
2013-09-30,52.5
2013-10-07,51.871429
2013-10-14,47.448570000000004
2013-10-21,47.148571000000004
2013-10-28,55.154284999999994
2013-11-04,58.475716000000006
2013-11-11,61.425713
2013-11-18,62.215714
2013-11-25,61.74714300000001
2013-12-02,63.66143
2013-12-09,64.052856
2013-12-16,60.64143000000001
2013-12-23,57.998568999999996
2013-12-30,51.267143
2014-01-06,48.187141
2014-01-13,46.672855
2014-01-20,49.39143
2014-01-27,46.011429
2014-02-03,48.664288
2014-02-10,46.935715
2014-02-17,49.982857
2014-02-24,57.478573
2014-03-03,59.689999
2014-03-10,61.447143999999994
2014-03-17,61.101429
2014-03-24,62.882858
2014-03-31,63.154284999999994
2014-04-07,67.478569
2014-04-14,62.851429
2014-04-21,63.452858
2014-04-28,60.265713
2014-05-05,60.771427
2014-05-12,63.692856000000006
2014-05-19,65.58429
