Date,Open,High,Low,Close,Volume,Adj Close,mom_6m,mom_12m
2012-10-29,9.487143,12.135714,9.364286,10.985714,199628800,10.985714,0.6272735417127768,0.7393912072263895
2012-11-05,10.652857000000001,11.475714,10.642857000000001,11.128571,155873200,11.128571,0.7682110879614221,0.7331053875991668
2012-11-12,11.285714,11.871429,11.048571,11.557143,121976400,11.557143,0.8884331416201044,0.8324365240041559
2012-11-19,11.715714,12.08,11.45,11.85,57894200,11.85,0.8991986979153861,1.0895708962849606
2012-11-26,11.8,11.938571000000001,11.332857,11.672857,69963600,11.672857,1.0991995283926133,1.158655924554408
2012-12-03,11.692857,12.825714,10.642857000000001,12.282857,263197200,12.282857,1.1093704274263134,1.0988855497634022
2012-12-10,12.285714,13.527142999999999,12.057143,13.328570999999998,141852900,13.328570999999998,1.2851469812666243,1.1586937559231716
2012-12-17,13.281429000000001,13.971429,13.015714,13.048571,126725900,13.048571,1.2637111451270446,1.142247316589367
2012-12-24,13.08,13.271429000000001,12.648571,12.761429,48381200,12.761429,1.2419821036740715,1.1792466794463343
2012-12-31,12.768571000000001,13.988570999999999,12.715714,13.711429,83183800,13.711429,1.267020238629142,0.9964074630693954
2013-01-07,13.77,14.56,13.507143,14.47,146457500,14.47,1.3622426428811272,0.988556894629716
2013-01-14,14.427143,14.928571,13.678571,14.167143,120776600,14.167143,1.1153986902492663,0.9112130780782237
2013-01-21,14.235714000000002,24.668571,13.798570999999999,24.222857,407259300,24.222857,1.0521791451353575,0.7216253410044524
2013-01-28,24.644285,25.321428,22.375713,23.542856,302668800,23.542856,1.173062902886217,0.7591553085839743
2013-02-04,23.254285999999997,26.982857,23.254285999999997,25.852857999999998,253960700,25.852857999999998,1.7191106562939964,0.8173161871528618
2013-02-11,25.568571,27.142857,24.971429999999998,27.072857,163285500,27.072857,1.8395473362060846,0.8138695300932814
2013-02-18,27.285713,28.231428,25.49,25.694285999999998,145000100,25.694285999999998,2.830717729233468,1.518402438723171
2013-02-25,25.855715,27.447144,25.064285,27.052856,164418800,27.052856,2.5875334111544803,1.4317983144390545
2013-03-04,26.954287,27.154284999999998,25.165714,26.385714,149795100,26.385714,2.865263056282264,1.6582974821657397
2013-03-11,26.285713,27.884287,25.572857,26.407142999999998,145184200,26.407142999999998,3.1733084899718884,1.7234448793584558
2013-03-18,25.911428,26.771428999999998,25.607143,25.9,82072200,25.9,3.1743733926885667,1.4964639420983612
2013-03-25,26.061428,28.151428000000003,25.681429,27.040001,121905700,27.040001,3.1290482898877614,1.646122977687752
2013-04-01,27.278570000000002,27.357143,23.218571,23.522858,197558900,23.522858,3.1960545954996475,1.6714932089960195
2013-04-08,23.690001000000002,25.377144,22.714287,24.742857,166354300,24.742857,3.395481219094889,1.7745032079515983
